state,date,cumul_cases,cumul_deaths
AK,2020-03-06,0,0
AK,2020-03-07,0,0
AK,2020-03-08,0,0
AK,2020-03-09,0,0
AK,2020-03-10,0,0
AK,2020-03-11,0,0
AK,2020-03-12,0,0
AK,2020-03-13,0,0
AK,2020-03-14,0,0
AK,2020-03-15,0,0
AK,2020-03-16,0,0
AK,2020-03-17,3,0
AK,2020-03-18,8,0
AK,2020-03-19,11,0
AK,2020-03-20,14,0
AK,2020-03-21,15,0
AK,2020-03-22,25,0
AK,2020-03-23,38,0
AK,2020-03-24,42,0
AK,2020-03-25,49,1
AK,2020-03-26,63,1
AK,2020-03-27,74,1
AK,2020-03-28,91,2
AK,2020-03-29,110,2
AK,2020-03-30,118,3
AK,2020-03-31,128,3
AK,2020-04-01,141,3
AK,2020-04-02,149,3
AK,2020-04-03,160,3
AK,2020-04-04,171,5
AK,2020-04-05,185,6
AK,2020-04-06,191,6
AK,2020-04-07,213,6
AK,2020-04-08,226,7
AK,2020-04-09,235,7
AK,2020-04-10,246,7
AK,2020-04-11,257,8
AK,2020-04-12,272,8
AK,2020-04-13,277,8
AK,2020-04-14,285,9
AK,2020-04-15,293,9
AK,2020-04-16,300,9
AK,2020-04-17,309,9
AK,2020-04-18,314,9
AK,2020-04-19,319,9
AK,2020-04-20,321,9
AK,2020-04-21,329,9
AK,2020-04-22,335,9
AK,2020-04-23,337,9
AK,2020-04-24,339,9
AK,2020-04-25,339,9
AK,2020-04-26,341,9
AK,2020-04-27,345,9
AK,2020-04-28,351,9
AK,2020-04-29,355,9
AK,2020-04-30,355,9
AK,2020-05-01,364,9
AK,2020-05-02,365,9
AK,2020-05-03,368,9
AK,2020-05-04,370,9
AK,2020-05-05,371,9
AK,2020-05-06,372,10
AK,2020-05-07,374,10
AK,2020-05-08,377,10
AK,2020-05-09,378,10
AK,2020-05-10,379,10
AK,2020-05-11,381,10
AK,2020-05-12,383,10
AK,2020-05-13,384,10
AK,2020-05-14,389,10
AK,2020-05-15,390,10
AK,2020-05-16,394,10
AK,2020-05-17,398,10
AK,2020-05-18,401,10
AK,2020-05-19,401,10
AK,2020-05-20,404,10
AK,2020-05-21,404,10
AK,2020-05-22,406,10
AK,2020-05-23,410,10
AK,2020-05-24,410,10
AK,2020-05-25,411,10
AK,2020-05-26,413,10
AK,2020-05-27,414,10
AK,2020-05-28,427,10
AK,2020-05-29,432,10
AK,2020-05-30,435,10
AK,2020-05-31,463,10
AK,2020-06-01,470,10
AK,2020-06-02,490,10
AK,2020-06-03,508,10
AK,2020-06-04,518,10
AK,2020-06-05,529,10
AK,2020-06-06,541,10
AK,2020-06-07,549,10
AK,2020-06-08,567,10
AK,2020-06-09,578,11
AK,2020-06-10,598,11
AK,2020-06-11,616,11
AK,2020-06-12,630,12
AK,2020-06-13,656,12
AK,2020-06-14,665,12
AK,2020-06-15,668,12
AK,2020-06-16,681,12
AK,2020-06-17,701,12
AK,2020-06-18,713,12
AK,2020-06-19,729,12
AK,2020-06-20,750,12
AK,2020-06-21,761,12
AK,2020-06-22,767,12
AK,2020-06-23,783,12
AK,2020-06-24,797,12
