date,state,cumul_deaths,cumul_prop_deaths
2020-01-13,WA,0,0
2020-01-14,WA,0,0
2020-01-15,WA,0,0
2020-01-16,WA,0,0
2020-01-17,WA,0,0
2020-01-18,WA,0,0
2020-01-19,WA,0,0
2020-01-20,WA,0,0
2020-01-21,WA,0,0
2020-01-22,MA,0,0
2020-01-22,WA,0,0
2020-01-23,MA,0,0
2020-01-23,WA,0,0
2020-01-24,MA,0,0
2020-01-24,WA,0,0
2020-01-25,MA,0,0
2020-01-25,WA,0,0
2020-01-26,MA,0,0
2020-01-26,WA,0,0
2020-01-27,MA,0,0
2020-01-27,VA,0,0
2020-01-27,WA,0,0
2020-01-28,MA,0,0
2020-01-28,VA,0,0
2020-01-28,WA,0,0
2020-01-29,FL,0,0
2020-01-29,MA,0,0
2020-01-29,VA,0,0
2020-01-29,WA,0,0
2020-01-30,FL,0,0
2020-01-30,MA,0,0
2020-01-30,VA,0,0
2020-01-30,WA,0,0
2020-01-31,FL,0,0
2020-01-31,MA,0,0
2020-01-31,VA,0,0
2020-01-31,WA,0,0
2020-02-01,FL,0,0
2020-02-01,MA,0,0
2020-02-01,VA,0,0
2020-02-01,WA,0,0
2020-02-02,FL,0,0
2020-02-02,MA,0,0
2020-02-02,VA,0,0
2020-02-02,WA,0,0
2020-02-03,FL,0,0
2020-02-03,MA,0,0
2020-02-03,VA,0,0
2020-02-03,WA,0,0
2020-02-04,FL,0,0
2020-02-04,MA,0,0
2020-02-04,VA,0,0
2020-02-04,WA,0,0
2020-02-05,FL,0,0
2020-02-05,MA,0,0
2020-02-05,VA,0,0
2020-02-05,WA,0,0
2020-02-06,FL,0,0
2020-02-06,MA,0,0
2020-02-06,VA,0,0
2020-02-06,WA,0,0
2020-02-07,FL,0,0
2020-02-07,MA,0,0
2020-02-07,VA,0,0
2020-02-07,WA,0,0
2020-02-08,FL,0,0
2020-02-08,MA,0,0
2020-02-08,VA,0,0
2020-02-08,WA,0,0
2020-02-09,FL,0,0
2020-02-09,MA,0,0
2020-02-09,VA,0,0
2020-02-09,WA,0,0
2020-02-10,FL,0,0
2020-02-10,MA,0,0
2020-02-10,NJ,0,0
2020-02-10,VA,0,0
2020-02-10,WA,0,0
2020-02-11,FL,0,0
2020-02-11,MA,0,0
2020-02-11,NJ,0,0
2020-02-11,VA,0,0
2020-02-11,WA,0,0
2020-02-12,FL,0,0
2020-02-12,MA,0,0
2020-02-12,NJ,0,0
2020-02-12,VA,0,0
2020-02-12,WA,0,0
2020-02-13,FL,0,0
2020-02-13,MA,0,0
2020-02-13,NJ,0,0
2020-02-13,VA,0,0
2020-02-13,WA,0,0
2020-02-14,FL,0,0
2020-02-14,MA,0,0
2020-02-14,NJ,0,0
2020-02-14,VA,0,0
2020-02-14,WA,0,0
2020-02-15,FL,0,0
2020-02-15,MA,0,0
2020-02-15,NE,0,0
2020-02-15,NJ,0,0
2020-02-15,VA,0,0
2020-02-15,WA,0,0
2020-02-16,FL,0,0
2020-02-16,MA,0,0
2020-02-16,NE,0,0
2020-02-16,NJ,0,0
2020-02-16,VA,0,0
2020-02-16,WA,0,0
2020-02-17,FL,0,0
2020-02-17,MA,0,0
2020-02-17,NE,0,0
2020-02-17,NJ,0,0
2020-02-17,VA,0,0
2020-02-17,WA,0,0
2020-02-18,FL,0,0
2020-02-18,MA,0,0
2020-02-18,NE,0,0
2020-02-18,NJ,0,0
2020-02-18,VA,0,0
2020-02-18,WA,0,0
2020-02-19,FL,0,0
2020-02-19,MA,0,0
2020-02-19,NE,0,0
2020-02-19,NJ,0,0
2020-02-19,VA,0,0
2020-02-19,WA,0,0
2020-02-20,FL,0,0
2020-02-20,MA,0,0
2020-02-20,NE,0,0
2020-02-20,NJ,0,0
2020-02-20,VA,0,0
2020-02-20,WA,0,0
2020-02-21,FL,0,0
2020-02-21,MA,0,0
2020-02-21,NE,0,0
2020-02-21,NJ,0,0
2020-02-21,VA,0,0
2020-02-21,WA,0,0
2020-02-22,FL,0,0
2020-02-22,MA,0,0
2020-02-22,NE,0,0
2020-02-22,NJ,0,0
2020-02-22,VA,0,0
2020-02-22,WA,0,0
2020-02-23,FL,0,0
2020-02-23,MA,0,0
2020-02-23,NE,0,0
2020-02-23,NJ,0,0
2020-02-23,VA,0,0
2020-02-23,WA,0,0
2020-02-24,FL,0,0
2020-02-24,MA,0,0
2020-02-24,NE,0,0
2020-02-24,NJ,0,0
2020-02-24,VA,0,0
2020-02-24,WA,0,0
2020-02-25,FL,0,0
2020-02-25,MA,0,0
2020-02-25,NE,0,0
2020-02-25,NJ,0,0
2020-02-25,VA,0,0
2020-02-25,WA,0,0
2020-02-26,FL,0,0
2020-02-26,MA,0,0
2020-02-26,NE,0,0
2020-02-26,NJ,0,0
2020-02-26,VA,0,0
2020-02-26,WA,2,2.7012035347409217e-7
2020-02-27,FL,0,0
