date,covid_month,season,state,tests,cases,hospitalizations,deaths
2020-01-13,1,Winter,WA,0,0,0,0
2020-01-14,1,Winter,WA,0,0,0,0
2020-01-15,1,Winter,WA,0,0,0,0
2020-01-16,1,Winter,WA,0,0,0,0
2020-01-17,1,Winter,WA,0,0,0,0
2020-01-18,1,Winter,WA,0,0,0,0
2020-01-19,1,Winter,WA,0,1,0,0
2020-01-20,1,Winter,WA,0,0,0,0
2020-01-21,1,Winter,WA,0,1,0,0
2020-01-22,1,Winter,MA,0,0,0,0
2020-01-22,1,Winter,WA,0,0,0,0
2020-01-23,1,Winter,MA,1,0,0,0
2020-01-23,1,Winter,WA,0,0,0,0
2020-01-24,1,Winter,MA,0,0,0,0
2020-01-24,1,Winter,WA,0,0,0,0
2020-01-25,1,Winter,MA,0,0,0,0
2020-01-25,1,Winter,WA,0,0,0,0
2020-01-26,1,Winter,MA,0,0,0,0
2020-01-26,1,Winter,WA,0,0,0,0
2020-01-27,1,Winter,MA,1,0,0,0
2020-01-27,1,Winter,VA,0,0,0,0
2020-01-27,1,Winter,WA,0,0,0,0
2020-01-28,1,Winter,MA,0,0,0,0
2020-01-28,1,Winter,VA,0,0,0,0
2020-01-28,1,Winter,WA,0,0,0,0
2020-01-29,1,Winter,FL,0,0,0,0
2020-01-29,1,Winter,MA,1,0,0,0
2020-01-29,1,Winter,VA,0,0,0,0
2020-01-29,1,Winter,WA,0,0,0,0
2020-01-30,1,Winter,FL,0,0,0,0
2020-01-30,1,Winter,MA,0,0,0,0
2020-01-30,1,Winter,VA,0,0,0,0
2020-01-30,1,Winter,WA,0,0,0,0
2020-01-31,1,Winter,FL,3,0,0,0
2020-01-31,1,Winter,MA,0,0,0,0
2020-01-31,1,Winter,VA,0,0,0,0
2020-01-31,1,Winter,WA,0,0,0,0
2020-02-01,2,Winter,FL,0,0,0,0
2020-02-01,2,Winter,MA,0,0,0,0
2020-02-01,2,Winter,VA,0,0,0,0
2020-02-01,2,Winter,WA,0,0,0,0
2020-02-02,2,Winter,FL,0,0,0,0
2020-02-02,2,Winter,MA,0,0,0,0
2020-02-02,2,Winter,VA,0,0,0,0
2020-02-02,2,Winter,WA,0,0,0,0
2020-02-03,2,Winter,FL,0,0,0,0
2020-02-03,2,Winter,MA,3,0,0,0
2020-02-03,2,Winter,VA,0,0,0,0
2020-02-03,2,Winter,WA,0,1,0,0
2020-02-04,2,Winter,FL,2,0,0,0
2020-02-04,2,Winter,MA,2,0,0,0
2020-02-04,2,Winter,VA,0,0,0,0
2020-02-04,2,Winter,WA,0,0,0,0
2020-02-05,2,Winter,FL,0,0,0,0
2020-02-05,2,Winter,MA,0,0,0,0
2020-02-05,2,Winter,VA,0,0,0,0
2020-02-05,2,Winter,WA,0,0,0,0
2020-02-06,2,Winter,FL,0,0,0,0
2020-02-06,2,Winter,MA,1,0,0,0
2020-02-06,2,Winter,VA,0,0,0,0
2020-02-06,2,Winter,WA,0,2,0,0
2020-02-07,2,Winter,FL,0,0,0,0
